HOME_CODE,HOME_TEAM,DATE,TIME,AWAY_CODE,AWAY_TEAM,LOCATION,HASHTAG,TVSHEDULE,TICKETS,MATCHCENTRE,HOME_TICKETS,HOME_SHOP,HOME_TWITTER,AWAY_TICKETS,AWAY_SHOP,AWAY_TWITTER
BUR,Burnley,5/17/20,15:00:00,BHA,Brighton and Hove Albion,"Turf Moor, Burnley",#BURBHA,,,,,,,,,
CHE,Chelsea,5/17/20,15:00:00,WOL,Wolverhampton Wanderers,"Stamford Bridge, London",#CHEWOL,,,,,,,,,
CRY,Crystal Palace,5/17/20,15:00:00,TOT,Tottenham Hotspur,"Selhurst Park, London",#CRYTOT,,,,,,,,,
EVE,Everton,5/17/20,15:00:00,BOU,AFC Bournemouth,"Goodison Park, Liverpool",#EVEBOU,,,,,,,,,
LEI,Leicester City,5/17/20,15:00:00,MUN,Manchester United,"King Power Stadium, Leicester",#LEIMUN,,,,,,,,,
MCI,Manchester City,5/17/20,15:00:00,NOR,Norwich City,"Etihad Stadium, Manchester",#MCINOR,,,,,,,,,
NEW,Newcastle United,5/17/20,15:00:00,LIV,Liverpool,"St. James' Park, Newcastle",#NEWLIV,,,,,,,,,
SOU,Southampton,5/17/20,15:00:00,SUN,Sheffield United,"St. Mary's Stadium, Southampton",#SOUSUN,,,,,,,,,
WHU,West Ham United,5/17/20,15:00:00,VIL,Aston Villa,"London Stadium, London",#WHUVIL,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
